STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,91902,"Lô trượt 4",Bbb4444,24,"9,700","06-04-2023 10:09:07","Huỷ Cược"
﻿2,91901,"Lô trượt 4",Bbb4444,23,"9,700","06-04-2023 10:09:13","Huỷ Cược"
