STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,25114,Xiên4,satomember,"00,01,02,03(27)","450,000","13-01-2023 09:50:04"
﻿2,25199,Xiên4,satomember,"01,02,03,04(27)","4,500","13-01-2023 10:52:07"
﻿3,25200,Xiên4,satomember,"01,02,03,05(27)","4,500","13-01-2023 10:52:07"
﻿4,25201,Xiên4,satomember,"01,02,03,06(27)","4,500","13-01-2023 10:52:07"
﻿5,25202,Xiên4,satomember,"01,02,04,05(27)","4,500","13-01-2023 10:52:07"
﻿6,25203,Xiên4,satomember,"01,02,04,06(27)","4,500","13-01-2023 10:52:07"
﻿7,25204,Xiên4,satomember,"01,02,05,06(27)","4,500","13-01-2023 10:52:07"
﻿8,25205,Xiên4,satomember,"01,03,04,05(27)","4,500","13-01-2023 10:52:07"
﻿9,25206,Xiên4,satomember,"01,03,04,06(27)","4,500","13-01-2023 10:52:07"
﻿10,25207,Xiên4,satomember,"01,03,05,06(27)","4,500","13-01-2023 10:52:07"
﻿11,25208,Xiên4,satomember,"01,04,05,06(27)","4,500","13-01-2023 10:52:07"
﻿12,25209,Xiên4,satomember,"02,03,04,05(27)","4,500","13-01-2023 10:52:07"
﻿13,25210,Xiên4,satomember,"02,03,04,06(27)","4,500","13-01-2023 10:52:07"
﻿14,25211,Xiên4,satomember,"02,03,05,06(27)","4,500","13-01-2023 10:52:07"
﻿15,25212,Xiên4,satomember,"02,04,05,06(27)","4,500","13-01-2023 10:52:07"
﻿16,25213,Xiên4,satomember,"03,04,05,06(27)","4,500","13-01-2023 10:52:07"
