STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,106877,Xiên2,Bbb4444,"02,03,04,05(27)","336,000","10-04-2023 10:37:31","Huỷ Cược"
﻿2,106877,Xiên2,Bbb4444,"02,03,04,05(27)","336,000","10-04-2023 10:38:16","Huỷ Cược"
﻿3,106877,Xiên2,Bbb4444,"02,03,04,05(27)","336,000","10-04-2023 10:42:39","Huỷ Cược"
