STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,25108,Xiên2,satomember,"03,04(27)","1,120,000","13-01-2023 09:50:01"
﻿2,25109,Xiên2,satomember,"44,55(27)","560,000","13-01-2023 09:50:02"
﻿3,25154,Xiên2,satomember,"12,00(27)","8,400,000","13-01-2023 04:14:50"
﻿4,25164,Xiên2,satomember,"01,02(27)","5,600","13-01-2023 10:52:05"
﻿5,25165,Xiên2,satomember,"01,03(27)","5,600","13-01-2023 10:52:05"
﻿6,25166,Xiên2,satomember,"01,04(27)","5,600","13-01-2023 10:52:05"
﻿7,25167,Xiên2,satomember,"01,05(27)","5,600","13-01-2023 10:52:05"
﻿8,25168,Xiên2,satomember,"01,06(27)","5,600","13-01-2023 10:52:05"
﻿9,25169,Xiên2,satomember,"02,03(27)","5,600","13-01-2023 10:52:05"
﻿10,25170,Xiên2,satomember,"02,04(27)","5,600","13-01-2023 10:52:05"
﻿11,25171,Xiên2,satomember,"02,05(27)","5,600","13-01-2023 10:52:05"
﻿12,25172,Xiên2,satomember,"02,06(27)","5,600","13-01-2023 10:52:05"
﻿13,25173,Xiên2,satomember,"03,04(27)","5,600","13-01-2023 10:52:05"
﻿14,25174,Xiên2,satomember,"03,05(27)","5,600","13-01-2023 10:52:06"
﻿15,25175,Xiên2,satomember,"03,06(27)","5,600","13-01-2023 10:52:06"
﻿16,25176,Xiên2,satomember,"04,05(27)","5,600","13-01-2023 10:52:06"
﻿17,25177,Xiên2,satomember,"04,06(27)","5,600","13-01-2023 10:52:06"
﻿18,25178,Xiên2,satomember,"05,06(27)","5,600","13-01-2023 10:52:06"
