STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,733081,Đề,Bbb4444,16,713,"17-01-2024 11:30:58","Huỷ Cược"
﻿2,733082,Đề,Bbb4444,26,713,"17-01-2024 11:30:58","Huỷ Cược"
﻿3,733083,Đề,Bbb4444,07,"1,426","17-01-2024 12:21:28","Huỷ Cược"
﻿4,733084,Đề,Bbb4444,17,"1,426","17-01-2024 12:21:28","Huỷ Cược"
﻿5,733083,Đề,Bbb4444,07,"1,426","17-01-2024 12:32:15","Huỷ Cược"
﻿6,733084,Đề,Bbb4444,17,"1,426","17-01-2024 12:32:15","Huỷ Cược"
