STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,106876,Lô,Bbb4444,06,"21,680,000","10-04-2023 10:15:53","Huỷ Cược"
﻿2,106876,Lô,Bbb4444,06,"21,680,000","10-04-2023 10:23:51","Huỷ Cược"
