STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,651022,Đề,Bbb4444,24,713,"11-01-2024 07:34:51","Huỷ Cược"
﻿2,651023,Đề,Bbb4444,34,713,"11-01-2024 07:34:52","Huỷ Cược"
