STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿73,788483,Đề,trnn60,71,"70,500","05-01-2023 03:26:31"
﻿74,788484,Đề,trnn60,72,"70,500","05-01-2023 03:26:31"
﻿75,788485,Đề,trnn60,73,"70,500","05-01-2023 03:26:31"
﻿76,788486,Đề,trnn60,74,"70,500","05-01-2023 03:26:31"
﻿77,788487,Đề,trnn60,75,"70,500","05-01-2023 03:26:31"
﻿78,788488,Đề,trnn60,76,"70,500","05-01-2023 03:26:31"
﻿79,788489,Đề,trnn60,77,"70,500","05-01-2023 03:26:31"
﻿80,788490,Đề,trnn60,78,"70,500","05-01-2023 03:26:31"
﻿81,788491,Đề,trnn60,79,"70,500","05-01-2023 03:26:31"
﻿82,788493,Đề,trnn60,81,"70,500","05-01-2023 03:26:31"
﻿83,788494,Đề,trnn60,82,"70,500","05-01-2023 03:26:31"
﻿84,788495,Đề,trnn60,83,"70,500","05-01-2023 03:26:31"
﻿85,788496,Đề,trnn60,84,"70,500","05-01-2023 03:26:31"
﻿86,788497,Đề,trnn60,85,"70,500","05-01-2023 03:26:31"
﻿87,788498,Đề,trnn60,86,"70,500","05-01-2023 03:26:31"
﻿88,788492,Đề,trnn60,80,"70,500","05-01-2023 03:26:31"
﻿89,788500,Đề,trnn60,88,"70,500","05-01-2023 03:26:31"
﻿90,788501,Đề,trnn60,89,"70,500","05-01-2023 03:26:31"
﻿91,788502,Đề,trnn60,90,"70,500","05-01-2023 03:26:31"
﻿92,788499,Đề,trnn60,87,"70,500","05-01-2023 03:26:31"
﻿93,788503,Đề,trnn60,91,"70,500","05-01-2023 03:26:31"
﻿94,788504,Đề,trnn60,92,"70,500","05-01-2023 03:26:31"
﻿95,788506,Đề,trnn60,94,"70,500","05-01-2023 03:26:31"
﻿96,788508,Đề,trnn60,96,"70,500","05-01-2023 03:26:31"
﻿97,788510,Đề,trnn60,98,"70,500","05-01-2023 03:26:31"
﻿98,788511,Đề,trnn60,99,"70,500","05-01-2023 03:26:31"
﻿99,788505,Đề,trnn60,93,"70,500","05-01-2023 03:26:31"
﻿100,788507,Đề,trnn60,95,"70,500","05-01-2023 03:26:31"
﻿101,788509,Đề,trnn60,97,"70,500","05-01-2023 03:26:31"
