STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,1175034,Đề,MenberO488,00,"272,100","10-01-2023 09:52:10"
﻿2,1175035,Đề,MenberO488,01,"272,100","10-01-2023 09:52:10"
﻿3,1175036,Đề,MenberO488,02,"272,100","10-01-2023 09:52:10"
﻿4,1175037,Đề,MenberO488,03,"272,100","10-01-2023 09:52:10"
﻿5,1175038,Đề,MenberO488,04,"272,100","10-01-2023 09:52:10"
﻿6,1175039,Đề,MenberO488,05,"272,100","10-01-2023 09:52:10"
﻿7,1175040,Đề,MenberO488,06,"272,100","10-01-2023 09:52:10"
﻿8,1175041,Đề,MenberO488,99,"272,100","10-01-2023 09:52:10"
﻿9,1175042,Đề,MenberO488,10,"181,400","10-01-2023 09:52:10"
﻿10,1175043,Đề,MenberO488,11,"181,400","10-01-2023 09:52:10"
﻿11,1175044,Đề,MenberO488,12,"181,400","10-01-2023 09:52:10"
﻿12,1175045,Đề,MenberO488,13,"181,400","10-01-2023 09:52:10"
﻿13,1175046,Đề,MenberO488,14,"181,400","10-01-2023 09:52:10"
﻿14,1175047,Đề,MenberO488,15,"181,400","10-01-2023 09:52:10"
﻿15,1175048,Đề,MenberO488,16,"181,400","10-01-2023 09:52:10"
﻿16,1175049,Đề,MenberO488,89,"181,400","10-01-2023 09:52:10"
﻿17,1175050,Đề,MenberO488,00,"272,100","10-01-2023 09:52:11"
﻿18,1175051,Đề,MenberO488,01,"272,100","10-01-2023 09:52:11"
﻿19,1175052,Đề,MenberO488,02,"272,100","10-01-2023 09:52:11"
﻿20,1175053,Đề,MenberO488,03,"272,100","10-01-2023 09:52:11"
﻿21,1175054,Đề,MenberO488,04,"272,100","10-01-2023 09:52:11"
﻿22,1175055,Đề,MenberO488,05,"272,100","10-01-2023 09:52:11"
﻿23,1175056,Đề,MenberO488,06,"272,100","10-01-2023 09:52:11"
﻿24,1175057,Đề,MenberO488,99,"272,100","10-01-2023 09:52:11"
﻿25,1175058,Đề,MenberO488,10,"181,400","10-01-2023 09:52:11"
﻿26,1175059,Đề,MenberO488,11,"181,400","10-01-2023 09:52:11"
﻿27,1175060,Đề,MenberO488,12,"181,400","10-01-2023 09:52:11"
﻿28,1175061,Đề,MenberO488,13,"181,400","10-01-2023 09:52:11"
﻿29,1175062,Đề,MenberO488,14,"181,400","10-01-2023 09:52:11"
﻿30,1175063,Đề,MenberO488,15,"181,400","10-01-2023 09:52:11"
﻿31,1175064,Đề,MenberO488,16,"181,400","10-01-2023 09:52:11"
﻿32,1175065,Đề,MenberO488,89,"181,400","10-01-2023 09:52:11"
﻿33,1175066,Đề,MenberO488,00,"272,100","10-01-2023 09:52:11"
﻿34,1175067,Đề,MenberO488,01,"272,100","10-01-2023 09:52:11"
﻿35,1175068,Đề,MenberO488,02,"272,100","10-01-2023 09:52:11"
﻿36,1175069,Đề,MenberO488,03,"272,100","10-01-2023 09:52:11"
﻿37,1175070,Đề,MenberO488,04,"272,100","10-01-2023 09:52:11"
﻿38,1175071,Đề,MenberO488,05,"272,100","10-01-2023 09:52:11"
﻿39,1175072,Đề,MenberO488,06,"272,100","10-01-2023 09:52:11"
﻿40,1175073,Đề,MenberO488,99,"272,100","10-01-2023 09:52:11"
﻿41,1175074,Đề,MenberO488,10,"181,400","10-01-2023 09:52:11"
﻿42,1175075,Đề,MenberO488,11,"181,400","10-01-2023 09:52:11"
﻿43,1175076,Đề,MenberO488,12,"181,400","10-01-2023 09:52:11"
﻿44,1175077,Đề,MenberO488,13,"181,400","10-01-2023 09:52:11"
﻿45,1175078,Đề,MenberO488,14,"181,400","10-01-2023 09:52:11"
﻿46,1175079,Đề,MenberO488,15,"181,400","10-01-2023 09:52:11"
﻿47,1175080,Đề,MenberO488,16,"181,400","10-01-2023 09:52:11"
﻿48,1175081,Đề,MenberO488,89,"181,400","10-01-2023 09:52:11"
﻿49,1175082,Đề,MenberO488,00,"272,100","10-01-2023 09:52:11"
﻿50,1175083,Đề,MenberO488,01,"272,100","10-01-2023 09:52:11"
﻿51,1175084,Đề,MenberO488,02,"272,100","10-01-2023 09:52:11"
﻿52,1175085,Đề,MenberO488,03,"272,100","10-01-2023 09:52:11"
﻿53,1175086,Đề,MenberO488,04,"272,100","10-01-2023 09:52:11"
﻿54,1175087,Đề,MenberO488,05,"272,100","10-01-2023 09:52:11"
﻿55,1175088,Đề,MenberO488,06,"272,100","10-01-2023 09:52:11"
﻿56,1175089,Đề,MenberO488,99,"272,100","10-01-2023 09:52:11"
﻿57,1175090,Đề,MenberO488,10,"181,400","10-01-2023 09:52:11"
﻿58,1175091,Đề,MenberO488,11,"181,400","10-01-2023 09:52:11"
﻿59,1175092,Đề,MenberO488,12,"181,400","10-01-2023 09:52:11"
