STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,106869,Đề,Bbb4444,02,705,"10-04-2023 09:22:56","Huỷ Cược"
﻿2,106875,Đề,Bbb4444,63,"7,050","10-04-2023 10:31:37","Huỷ Cược"
﻿3,106875,Đề,Bbb4444,63,"7,050","10-04-2023 10:31:38","Huỷ Cược"
﻿4,106875,Đề,Bbb4444,63,"7,050","10-04-2023 10:31:38","Huỷ Cược"
