STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,1137482,Đề,MenberO490,08,"90,700","10-01-2023 12:05:46"
﻿2,1137489,Đề,MenberO490,82,"90,700","10-01-2023 12:05:54"
﻿3,1148495,Đề,MenberO490,08,"90,700","10-01-2023 02:36:53"
﻿4,1148503,Đề,MenberO490,82,"90,700","10-01-2023 02:36:57"
﻿5,1149507,Đề,MenberO490,08,"90,700","10-01-2023 02:50:01"
﻿6,1149510,Đề,MenberO490,82,"90,700","10-01-2023 02:50:06"
﻿7,1150453,Đề,MenberO490,08,"90,700","10-01-2023 03:02:09"
﻿8,1150462,Đề,MenberO490,82,"90,700","10-01-2023 03:02:15"
﻿9,1151550,Đề,MenberO490,08,"90,700","10-01-2023 03:16:18"
﻿10,1151556,Đề,MenberO490,82,"90,700","10-01-2023 03:16:25"
﻿11,1152533,Đề,MenberO490,08,"90,700","10-01-2023 03:28:50"
﻿12,1152542,Đề,MenberO490,82,"90,700","10-01-2023 03:28:53"
﻿13,1153507,Đề,MenberO490,08,"90,700","10-01-2023 03:41:06"
﻿14,1153511,Đề,MenberO490,82,"90,700","10-01-2023 03:41:08"
﻿15,1175555,Đề,MenberO490,00,"272,100","10-01-2023 10:00:05"
﻿16,1175562,Đề,MenberO490,01,"272,100","10-01-2023 10:00:48"
﻿17,1175566,Đề,MenberO490,02,"272,100","10-01-2023 10:01:17"
﻿18,1175571,Đề,MenberO490,03,"272,100","10-01-2023 10:01:20"
