STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,25221,Đề,satomember,00,"211,500","14-01-2023 01:55:45","Huỷ Cược"
﻿2,25221,Đề,satomember,00,"211,500","14-01-2023 01:56:18","Huỷ Cược"
﻿3,25221,Đề,satomember,00,"211,500","14-01-2023 01:56:51","Huỷ Cược"
﻿4,25221,Đề,satomember,00,"211,500","14-01-2023 01:56:55","Huỷ Cược"
﻿5,25221,Đề,satomember,00,"211,500","14-01-2023 01:57:06","Huỷ Cược"
﻿6,25221,Đề,satomember,00,"211,500","14-01-2023 01:57:08","Huỷ Cược"
﻿7,25222,Đề,satomember,00,"211,500","14-01-2023 01:57:29","Huỷ Cược"
﻿8,25221,Đề,satomember,00,"211,500","14-01-2023 03:10:53"
﻿9,25222,Đề,satomember,00,"211,500","14-01-2023 03:10:53"
