STT,"Mã Cược",Loại,"Người dùng","Số cược","Tiền cược","Thời gian",Huỷ
﻿1,24911,Xiên2,satomember,"00,01(27)","1,120,000","06-01-2023 12:43:57","Huỷ Cược"
﻿2,24912,Xiên2,satomember,"02,05(27)","1,120,000","06-01-2023 12:43:57","Huỷ Cược"
